trial_nr,protocol,article_id,title,web_url,protocol_published_original_column,study_type_pilot,pooled_analysis,post_hoc_secondary_analysis,discipline,continent,sample_size,cci_mismatch_analysis,cd_cci_reported_in_results,cci_modification,specification_of_modification,primary_outcome_significant,statistically_significant_difference_for_cci,between_group_difference_of_cci_12,between_group_difference_of_cci,mean_or_median_used,significance_considered,conclusion_of_authors,protocol_published,study_must_be_excluded,exclusion_reason,comments,comments_2,doi,publication_year,cci_ep,cci_1st_ep,cci_2nd_ep,cci_expl_ep,ss_calculation,cci_used_for_ss_calculation,specification_of_ss_calculation,study_type_mentioned,type_of_study_sup_non_inf,non_inf_margin,definition_of_non_inf_margin
NCT01884948,Protocol,6257,"Perioperative omega-3 fatty acids fail to confer protection in liver surgery: Results of a multicentric, double-blind, randomized controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076852575&doi=10.1016%2fj.jhep.2019.10.004&partnerID=40&md5=028e21db45b1dd3036b2ea5bf5b5a7c0
",NA,Not pilot study,No,No,Abdominal Surgery,Europe,261,NA,Yes,No,na,No,No,No,3,Mean,NA,Neutral,Protocol published,No,NA, ,NA,https://www.scopus.com/pages/publications/84939173471?inward=,2015,CCI primary endpoint,Yes,No,No,Yes,Yes,"We hypothesized that in 117 patients two intravenous infusions of Omegaven™ will protect the liver causing effective reduction of the post-operative complication rates (CCI) by 30 % when compared to the 117 placebo patients. The sample size of 117 patients per randomized group (234 in total) was calculated based on the following parameters using the patient cohort of major liver resections at the University Hospital Zurich: Percentage of complications for placebo group: 65 % Mean CCI in major resections is 17 (standard deviation: 15.9) Percentage of complications for Omegaven™ group: 30 % reduction of complications and/or CCI α: 0.05 Power (1-β): 0.8 2-sided test Expected differences in proportions are based on data derived from the literature. Such a statistically significant reduction of the complication rate is considered to be clinically significant. A 10 % dropout rate is relatively common for liver resection, we thus have increased the sample size to 258 patients in total for both groups.",No,NA,NA,NA
NCT02652637,Protocol,7035,"Mechanical and oral antibiotic bowel preparation versus no bowel preparation for elective colectomy (MOBILE): a multicentre, randomised, parallel, single-blinded trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070235360&doi=10.1016%2fS0140-6736%2819%2931269-3&partnerID=40&md5=fbebce401ef6d44daba7e989300b2875
",NA,Not pilot study,No,No,Abdominal Surgery,Europe,417,NA,NA,No,NA,No,NA,NA,NA,NA,NA,NA,"No protocol,registry",No,NA,NA,NA,https://clinicaltrials.gov/study/NCT02652637,NA,CCI non-primary endpoint,No,Yes,No,Yes,NA,Not mentioned,No,Superiority trial (assumed),NA,NA
NCT01362127,Protocol,7207,"Morbidity and mortality after surgery for cancer of the oesophagus and gastro-oesophageal junction: A randomized clinical trial of neoadjuvant chemotherapy vs. neoadjuvant chemoradiation
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930763270&doi=10.1016%2fj.ejso.2015.03.226&partnerID=40&md5=3e9edf5c94fd294af9aa218fb69cace1
",NA,Not pilot study,No,No,Abdominal Surgery,Europe,181,NA,NA,No,na,Yes,Yes,No,10,Mean,NA,NA,"No protocol,registry",No,NA,primary outcome not reported,NA,https://clinicaltrials.gov/study/NCT01362127,2011,CCI not an endpoint,No,No,No,Yes,NA,Not mentioned,No,NA,NA,NA
NCT02560662,Protocol,8597,"Recovery after breast cancer surgery following recommended pre and postoperative physical activity: (PhysSURG-B) randomized clinical trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102228231&doi=10.1093%2fbjs%2fznaa007&partnerID=40&md5=fd184a3e27a9cc75629edcbcaffe53dc
",NA,Not pilot study,No,No,Abdominal Surgery,Europe,400,NA,NA,No,na,No,No,No,0.8,Mean,NA,NA,Protocol unpublished,No,NA, ,NA,supplemental content of results paper,2016,CCI not an endpoint,No,No,No,Yes,No,"Women who self-reported their physical activity to be high had an odds ratio of 2.7 to feel physically recovered from surgery within 3 weeks compared to women who were inactive. With evaluable 170 patients per group a true odds ratio of 2.7 in sick leave will be detected with 80% power using a two-sided test at 5% significance level. Because of the lack of previous studies in this field, and the consequent inexactness in our estimations of the effects of the intervention, a pre-planned interim analysis for the first 100 patients was undertaken during July 2017. An independent committee was asked to evaluate difference between the two study groups (decoded into A and B) regarding the primary outcome measure. The committee found the difference in self-reported feeling of physical recovery between group A and B to be 9%. The calculated sample size needed in each study group to detect a true difference with 80% power using a two-sided test at 5% significance level was n=157. Taking into account the dropout frequency of 8% during the course of the study we plan to include a total of n=400.",No,NA,NA,NA
UMIN000013823,Protocol,8691,"Glucocorticoid use and ischemia-reperfusion injury in laparoscopic liver resection: Randomized controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083539150&doi=10.1002%2fags3.12298&partnerID=40&md5=03ef26294f719d2de60f32ddbc72075a
",NA,Not pilot study,No,No,Abdominal Surgery,Asia,124,NA,NA,No,"Modifikation mit unklar, aber ""Major morbidity was defined as CCI ≥26.2."" und dann major morbidity für eine Gruppe mit 10 und für die andere mit 18% angegben, der CCI in der einen Gruppe soll aber 0 (0-14.4) und in der anderen 0 (0-0) gewesen sein.",Yes,No,No,0,Median,NA,NA,"No protocol,registry",No,NA,NA,NA,https://center6.umin.ac.jp/cgi-open-bin/ctr/index.cgi,2014,CCI not an endpoint,No,No,No,Yes,NA,Not mentioned,No,NA,NA,NA
ChiCTR1900021158,Protocol,8922,"A randomized-controlled trial of ischemia-free liver transplantation for end-stage liver disease
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159281384&doi=10.1016%2fj.jhep.2023.04.010&partnerID=40&md5=0f00258716816fcfcd59b06eb7a4901d
",NA,Not pilot study,No,No,Transplant,Asia,68,NA,NA,No,na,Yes,Yes,No,NA,Mean,NA,NA,Protocol published,No,NA,NA,NA,https://bmjopen.bmj.com/content/10/5/e035374.abstract,2019,CCI non-primary endpoint,No,Yes,No,Yes,No,"This study has a 1:1 parallel design, and the sample size calculation is based on our pilot study. It is estimated that EAD will occur in 10% of the experimental (IFLT) group and 40% of the control (CLT) group. With a power of 80% (1-β) and significance level (α, two- sided) of 5%, we calculated that 32 patients need to be enrolled in each arm. Considering the possibility of organ discard under special conditions, the sample size was increased by 5%. Ultimately, 34 patients in each arm, for a total of 68 patients, will be enrolled in the study.",No,NA,NA,NA
NCT01818375,Protocol,9151,"Goal-directed Fluid Therapy Does Not Reduce Primary Postoperative Ileus after Elective Laparoscopic Colorectal Surgery: A Randomized Controlled Trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020932811&doi=10.1097%2fALN.0000000000001663&partnerID=40&md5=0c5ff1ad9a6a9f8993995e635764e14b
",NA,Not pilot study,No,No,"ICU,Anesthesiology",North America,135,NA,NA,No,na,No,No,No,0,Median,NA,NA,"No protocol,registry",No,NA, ,NA,https://clinicaltrials.gov/study/NCT01818375,2013,CCI not an endpoint,No,No,No,Yes,NA,Not mentioned,No,NA,NA,NA
NCT02746731,Protocol,9217,"Prehabilitation in patients undergoing colorectal surgery fails to confer reduction in overall morbidity: results of a single-center, blinded, randomized controlled trial
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123919498&doi=10.1007%2fs00423-022-02449-0&partnerID=40&md5=1a97bb3b40953124d8ebf9224f074884
",NA,Not pilot study,No,No,Abdominal Surgery,Europe,112,NA,Yes,No,na,No,No,No,3,Mean,NA,Neutral,Protocol published,No,NA, ,NA,10.2196/resprot.7972,2017,CCI primary endpoint,Yes,No,No,Yes,Yes,"The sample size calculation was performed assuming a clinically relevant 25% reduction of postoperative complications as assessed by the Comprehensive Complication Index (CCI) favoring the treatment group (prehabilitation) when compared to the control group (no prehabilitation) [7,8]. Using a dataset of 47 patients who underwent ERAS colorectal surgery in our department, we determined the mean CCI was 10 (SD 5). Thus, the treatment group mean was set at 7.5, and the standard deviation was adjusted accordingly (SD 3.75) [9]. The alpha error was typically set at .05 and power at 80%. The initial total sample size of 102 patients was increased by 10% to adjust for potential of loss to follow-up resulting in a total sample size of 112 participants (ie, 56 participants per group respectively).
",No,NA,NA,NA
NCT01516710,Protocol,9596,"Laparoscopic Versus Open Resection for Colorectal Liver Metastases
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021430201&doi=10.1097%2fSLA.0000000000002353&partnerID=40&md5=530cb036fd7669db026611d7b560406b
",NA,Not pilot study,No,No,Abdominal Surgery,Europe,280,"only postoperative complications within 30 days (Accordion grade 2 or higher) (in protocol 2 different classifications). results: difference of 12 percentage points (95% CI 1.67–21.8; P = 0.021).  CCI in results was statistically significant (difference of 4.1 points, 95% CI 0.6–7.5, P = 0.021)",NA,Yes,1,Yes,Yes,No,4.1,Mean,NA,NA,Protocol published,No,NA, ,NA,https://trialsjournal.biomedcentral.com/articles/10.1186/s13063-015-0577-5,2015,CCI primary endpoint,Yes,No,No,Yes,No,"After reviewing our own data and the literature, we expect a 13% morbidity rate in the laparoscopic group [19,47] and a 27% rate in the open group [17,19,48]. With a significance level of 5% and two-sided test, 254 patients will be needed to complete the study with 80% power. To allow for 10% dropout, we plan to include 280 patients.",Yes,Superiority trial (explicited),NA,NA
NCT02131844,Protocol,9679,"Ensuring Early Mobilization Within an Enhanced Recovery Program for Colorectal Surgery
","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006508359&doi=10.1097%2fSLA.0000000000002114&partnerID=40&md5=3212cd48325ecc4e916a3835fe90916f
",NA,Not pilot study,No,No,Abdominal Surgery,North America,100,NA,NA,No,na,No,No,No,0,Median,NA,NA,Protocol unpublished,No,NA,NA,NA,supplemental content of results paper,2014,CCI non-primary endpoint,No,No,Yes,Yes,No,"Previous research by our research group showed that, when no exercise intervention is provided, the proportion of patients returning to preoperative levels of functional walking capacity at 4 weeks after surgery is approximately 45%.36 Sample size requirement for the present study was estimated for an α level of 0.05 and 80% power to detect a 30% increase in this proportion (risk ratio 0.75/0.45=1.65). According to this estimate, a sample of 42 participants per group is considered sufficient for our analysis. A sample size of 50 participants per group (total sample of 100) is targeted to account for a possible increase in data variance due to multiple imputation of missing data.",Yes,Superiority trial (explicited),NA,NA
